num_channels: [32, 64]
kernel_size: 5
dropout: 0.2
emb_dim: 64
batch_size: 16
learning_rate: 0.001
best_epoch: 49
best_val_loss: 0.005361585676049193
"[32, 64]",5,0.2,64,32,0.0001,50,0.012579933107015799,0.011989500373601913,45,0.011595321632921696
"[32, 64]",5,0.2,64,32,0.001,50,0.0062059623250452275,0.007448341138660908,47,0.006334230800469716
"[32, 64]",5,0.3,32,16,0.0001,50,0.013111117057991725,0.012576382172604402,45,0.012231710428992907
"[32, 64]",5,0.3,32,16,0.001,50,0.005452099420825589,0.007344867816815774,46,0.005701962547997634
"[32, 64]",5,0.3,32,32,0.0001,50,0.013920116722894536,0.012249571705857913,49,0.012066310333708922
"[32, 64]",5,0.3,32,32,0.001,50,0.006808377211433724,0.007636119239032268,46,0.006123455769071976
"[32, 64]",5,0.3,64,16,0.0001,50,0.011485823258714861,0.014020061741272608,20,0.01221572229017814
"[32, 64]",5,0.3,64,16,0.001,50,0.005246302134302038,0.007164494786411524,44,0.006232188114275535
"[32, 64]",5,0.3,64,32,0.0001,50,0.01346220805798196,0.013076150293151538,44,0.012178918470939
"[32, 64]",5,0.3,64,32,0.001,50,0.006347968733973405,0.006615848404665788,41,0.006390044093132019
