num_channels: [32, 64]
kernel_size: 5
dropout: 0.2
emb_dim: 64
batch_size: 16
learning_rate: 0.001
best_epoch: 47
best_val_loss: 0.011100231607755025
"[32, 64]",5,0.2,64,32,0.0001,50,0.02964493042835043,0.03334671383102735,50,0.03334671383102735
"[32, 64]",5,0.2,64,32,0.001,50,0.012670563415423176,0.015210359481473763,48,0.012940086983144283
"[32, 64]",5,0.3,32,16,0.0001,50,0.024703977412007153,0.04498325238625209,24,0.038059740761915845
"[32, 64]",5,0.3,32,16,0.001,50,0.012569665487339027,0.015187573743363221,48,0.014343627355992794
"[32, 64]",5,0.3,32,32,0.0001,50,0.03321441775333521,0.03606553574403127,47,0.03537655274073283
"[32, 64]",5,0.3,32,32,0.001,50,0.013770462398352227,0.019913989181319872,48,0.017952607944607735
"[32, 64]",5,0.3,64,16,0.0001,50,0.0199347929766827,0.045533254742622375,34,0.03423533861835797
"[32, 64]",5,0.3,64,16,0.001,50,0.012979337241504501,0.017134440255661805,33,0.015091659004489581
"[32, 64]",5,0.3,64,32,0.0001,50,0.030966082395552593,0.03635471115509669,49,0.03400228420893351
"[32, 64]",5,0.3,64,32,0.001,50,0.01321822789626835,0.02168163744111856,49,0.019404393931229908
